text,label
"Habari, MB za Kifurushi cha Internet SUPA Tsh.10000 zimeisha. Salio lako  la muda wa maongezi litatumika. Piga *149*01# kununua kifurushi kingine. Asante.",0
"Umefikia 75% ya matumizi ya MB za kifurushi cha JFU Tsh.1000, umebaki na 122 MB zitumike hadi 27.12.2025 10:58:22. Piga *149*01# kununua kifurushi kingine.",0
"Ndugu mteja, kifurushi chako cha JFU Tsh.1000 kimekwisha muda wake. Piga *149*01# kununua kifurushi kingine. Ahsante kwa kuchagua Vodacom",0
"Ndugu mteja, kifurushi chako cha Cheka kimekwisha muda wake. Piga *149*01# kununua kifurushi kingine. Ahsante kwa kuchagua Vodacom.",0
"Ndugu mteja, kifurushi chako cha YaKwakoTu kimekwisha muda wake. Piga *149*01# kununua kifurushi kingine. Ahsante kwa kuchagua Vodacom",0
"HAKUNA MAKATO yoyote unapolipia tiketi za SGR, LUKU, bili za serikali na zaidi kwa NMB Mkononi. Ni Rahisi tu! Piga *150*66# > 2 au tumia App. #TelezaKidigitali",0
"Ref: GWX101963307999 confirmed.
TZS1000 successful sent from account ending with 3708 to  JOSHUA SPEAKER URIO 255753291621.
Date: 20/01/2026 14:33:29. Teleza Kidigitali na Mshiko Fasta",0
"AKUNA MAKATO yoyote unapolipia tiketi za SGR, LUKU, bili za serikali na zaidi kwa NMB Mkononi. Ni Rahisi tu! Piga *150*66# > 2 au tumia App. #TelezaKidigitali",0
"Ref: 206UTLP260220812
You have successfully purchased airtime of TZS 2500 from account ***3708 to  255753291621. Date: 22-01-2026 20:16. Get quick loan with Mshikofasta",0
"Umetoa TZS 20000 kwa kadi inayoishia 6840, tar 15-01-2026 03:08. Kama hutambui muamala huu piga 0800002002. NMB Karibu yako",0
"Ref: GWX101956442683 confirmed.
TZS15000 successful sent from account ending with 3708 to  JOSHUA SPEAKER URIO 255618148459.
Date: 16/01/2026 09:27:00. Teleza Kidigitali na Mshiko Fasta",0
USITOE namba ya SIRI au taarifa za akaunti yako kwa wakala usajili laini. Badili neno siri ukihisi limejulikana kupitia ATM au NMB Mkononi,0
"Ref: 206UTLP260130709
You have successfully purchased airtime of TZS 3500 from account ***3708 to  255753291621. Date: 13-01-2026 18:40. Get quick loan with Mshikofasta",0
"Umetoa TZS 20000 kwa kadi inayoishia 6840, tar 11-01-2026 09:04. Kama hutambui muamala huu piga 0800002002. NMB Karibu yako",0
"Furahia MSIMU HUU WA SIKUKUU kwa kutuma pesa kwenda MTN na Airtel Uganda kwa gharama ndogo kuanzia Tsh 2,000 ukitumia NMB Mkononi App. #DhumuniHalinaMipaka",0
"Ref: GWX101931086741 confirmed.
TZS2000 successful sent from account ending with 3708 to  JOSHUA SPEAKER URIO 255753291621.
Date: 01/01/2026 13:13:47. Teleza Kidigitali na Mshiko Fasta",0
"Ndugu JOSHUA:
Salio Muda wa Maongezi: Akaunti Kuu Tsh 0.00.
Kifurushi: Kimataifa:dk 4 sek 28.
Kimataifa:dk 4 sek 28 mpaka 2026-02-12 14:42:28.",0
"Umeongeza muda wa maongezi Tsh2500.00 (Gharama: Tsh2118.64, VAT Tsh381.36).Salio lako jipya ni Tsh2500.00.",0
Asante kwa kuchagua Vodacom!Umepata dk 200 mitandao yote na SMS 50 za kifurushi cha Cheka Tsh2500 kutumika hadi 2026-01-29 20:16:44.,0
"#NiRahisiTu! Kwa msaada tutumie SMS bure kwenda 100, WhatsApp wa.me/255754100100 au mitandao yetu ya kijamii. Ujumbe mmoja unatosha.",0
"Huduma za Vodacom zimerejea hewani. Tunaomba radhi kwa usumbufu iliyojitokeza. Pokea Dk10, SMS 100 na 100MB za BURE kutumika ndani ya saa24. Kujua salio piga *149*60#.",0
"Ndugu JOSHUA:
Salio Muda wa Maongezi: Akaunti Kuu Tsh 0.00.
Kifurushi: dk 200 sek 0 mitandao yote Kimataifa:dk 4 sek 28 SMS 50 MB 602.
MB 107 mpaka 2026-01-14 18:39:12.
MB 490 mpaka 2026-01-16 18:45:02.
dk 200 sek 0 mitandao yote SMS 50 MB 5 mpaka 2026-01-20 18:45:42.
Kimataifa:dk 4 sek 28 mpaka 2026-02-12 14:42:28",0
Asante kwa kuchagua Vodacom!Una MB490 kwa Tsh1000 kutumika hadi 2026-01-11.Kujua salio piga *149*60#.Ibuka kidedea na MDUNDO! Tuma V kwenda 15544 sasa.,0
Unaumwa nini,0
Nini shida,0
Mimi naumwa sana,0
 Vipi uko wapi,0
Mungu anasaidia,0
Powa,0
Bby umeamkaje,0
Asante vp wewe,0
Asante vp wewe,0
Nikopeshe 5000 baai nitakuludishia mpenzi wangu,0
"Habari, Salio lako halitoshi! Jibu ""YES"" kwenye SMS hii kupata mkopo wa muda wa maongezi mpaka Tsh 6000 na ulipe utakapoongeza salio au piga *149*01*99# kwa mikopo zaidi.",0
"DAM9MFJ01QV imethibitishwa, umelipwa Tsh6,000.00 kutoka kwa 922748 - TIPS-NMB tarehe 22/1/26 saa 10:25 AM Salio la M-Pesa ni Tsh6,992.56",0
"DAM9MFJ01QV imethibitishwa. Umepokea Tshs 6,000.00 kutoka NMB Bank, Akaunti ****5990 - JURGEN JOHN  MAGUFULI tarehe 22/01/2026 saa 10:24:58",0
DAL8MEOU48Q Imethibitishwa.Umepokea Tsh38.00 kutoka 219777 - M-PESA FAIDA tarehe  21/1/26  saa 12:44 AM Salio lako la M-Pesa ni Tsh992.56.,0
"DAK8ME9KEDQ Imethibitishwa tarehe 20/1/26 saa 2:33 PM umetoa kiasi cha Tsh60,000.00 kutoka kwa 519214 - MARY STEPHANO ZEPHANIA Jumla ya Ada Tsh3,273.00 (M-Pesa Ada Tsh2,700.00 + TOZO ya Serikali Tsh573.00). Salio ni Tsh954.56.",0
"DAK1ME9K0QZ imethibitishwa. Umepokea Tshs 1,000.00 kutoka NMB Bank, Akaunti ****3708 - JOSHUA SPEAKER URIO tarehe 20/01/2026 saa 14:33:27.",0
"DAK1ME9K0QZ imethibitishwa. Umepokea Tshs 1,000.00 kutoka NMB Bank, Akaunti ****3708 - JOSHUA SPEAKER URIO tarehe 20/01/2026 saa 14:33:27.",0
"DAK5ME9924Z Imethibitishwa mnamo 20/1/26, 2:19 PM umeweka Tsh63,000.00 kwa LILIAN JOSHUA NJAU Salio lako ni Tsh63,227.56. Tuma au pokea pesa kutoka nchi 200.",0
3DS OTP: 998290,0
DAD7M9T7ZXH Imethibitishwa. Tsh500.00 imetumwa kwa VODACOM-BUNDLES tarehe 13/1/26 saa 6:39 PM. Salio lako la M-Pesa ni Tsh227.56.,0
"Mpendwa Mteja mwenye namba 0300020523966

Data
Mwezi: MB16182 hadi 15/02/2026",0
Umepokea MB245 hadi 23:59:59 leo. Asante!,0
Hongera! Namba 0618148459 imekuzawadia kifurushi cha mwezi. Umepokea MB 18432 hadi 09:31 15/02/2026. Asante!,0
"Mpendwa Mteja mwenye namba 0618148459
Salio Kuu: Tsh100

Data",0
"Kuripoti tapeli andika neno ""Tapeli"" na namba ya tapeli kwenda 15040",0
Umetumia takribani 75% ya kifurushi chako. Tafadhali piga *102# kuangalia salio la kifurushi chako. Asante!,0
Hongera! Umepokea MB 985 hadi 20:27 14/01/2026. Asante!,0
Toa ushahidi au maoni kwa Tume kuhusu matukio ya wakati na baada ya Uchaguzi mkuu kwa SMS/WhatsApp:0743040890 au kupitia https://tume.uchunguzi.go.tz.,1
WASILIANA NAMGANGA VIKONA ANATOWA MARI BILA KAFARA MVUTO KESI BIASHARA NYOTA PETE MAGONJWA PESA ZA MAJINI KUTULIZA MKE MME PG 0622528503 AU 0691176752,1
"TIßA ASILI pata mvuto 
wa biashara uchimbaji mahusiano utajiri kubeti kesi kisasi NK mpigie BIBI MAUA0680069490akusaidie.",1
//UNAKALIBISHWA  KUJIUNGA NA(FRIMASON  UMILIKI PESA MAJUMBA NA BIASHARA KUJIUNGA PG 0692142619,1
utatuma kwenye AirtelMoney 0783120518 akikisha  jina MAGRETH NARISIS,1
"Pata habari xclusive na motomoto za michezo kiganjani mwako, Tuma neno DIMBANI kwenda 15460",1
JI:U:NGE NA FR:EE:MA:SON UPATE UTAJIRI WA MALI NYUMBA NA MAGARI BILA SADAKA WASILIANA NA MKUU PIGA:0623943720,1
"KALIBU UJI UNGE NA TAASISI YA UMOJA WA 6.6.6 FREE MA SOON UPATE MILIKI utajili mali bila ka fara piga SIM kwa mkuu no""0675122314",1
"ela tuma kwenye namba hii ya M-PESA' 0794414389 jina litakuja CHARLES KAPUFI,wai sasa",1
"Pata 2000-5000 TZS/siku! Unahitaji simu tu. Hakuna mipaka. Anza sasa! Fanya kazi mahali popote, wakati wowote. SMS Jiunge na
https://s.url99.me/p60lzube",1
"Pata 2000-5000 TZS/siku! Unahitaji simu tu. Hakuna mipaka. Anza sasa! Fanya kazi mahali popote, wakati wowote. SMS Jiunge na
https://s.url99.me/p60lzube",1
"Utaniwekea kwenye Airtelmoney 0781140491. jina litakuja Monica Maweni, ile namba usitume inadeni",1
"There is a work proposal to be processed, 50000TZS/day, waiting for your reply, please click the link below to contact us:

https://s.url99.me/8hgjcvls",1
"Hi, I'm a recruitment consultant and I've contacted you before. There's a part-times job available. Contact Us https://surl.li/fdtxnf",1
"Hi, I'm a recruitment consultant and I've contacted you before. There's a part-times job available. Contact Us https://surl.li/fdtxnf",1
"Mpigie Mzee maduka kwa Tiba, asili, kumiliki, Mali bilakafala, mapenzi, Kesi, nyota biashara, zindiko, kurudisha mke&Mme,kisasi,zuruma,kuibiwa,piga 0774643191",1
MPIGIE MGANGA WA JADI Mzee JIMSON ANATOWA MARI BILA KAFARA MVUTO KESI BIASHARA NYOTA PETE MAGONJW PESA ZA MAJINI KUTULIZA MKE MME pg 0621597991 au 0619541686,1
Utanitumia kwa hi'i Airtel 0785358469 jina ALIKO MWAKIGONJOLA.,1
Mzee juma Anatibu Kusafisha Ny0ta  Kumiliki Mari Ndagu Pete Ya Bahati Kuludisha Mali Iliyop0tea Mke Mume Mas0mo Kazi Kesi Cheo.0629347787,1
"JAMBO LETU NI LEO
PATA BONUS YA 7000
IKICHANA timu 1 *TUNARUDISHA *nusu ya ushindi wako
KASINO LIPO 2.5m unajiokotea kwa kushiriki

www.kingbet.co.tz
0222226666",1
"Betway: Ni Sherehe Tu

Tunatoa zawadi za TSh 84,000,000+. Cheki salio lako kila siku kama umeshinda.

Ingia: betway.co.tz",1
MZEE HAMISI NI MTARAM WATIBA ASIRI BIASHARA UZAZI KIRIMO KUIBIWA ZINDIKO BAHATI KISASI MVUTO MAPENZI MKE MME PIGA 0683820023 ATAKUSAIDIA,1
Nitumie kwenye Airtel hi 0680264215 jina DEODATUSI KLOFASI WANGAO namba yangu usitume inadaiwa.,1
WASILIANA NAMGANGA MZEE VIKONA ANATOWA MARI BILA KAFARA MVUTO KESI BIASHARA NYOTA PETE MAGONJWA PESA ZA MAJINI KUTULIZA MKE MME PG 0622528503 AU 0691176752 ,1
"TIßA ASILI pata mvuto 
wa biashara uchimbaji mahusiano utajiri kubeti kesi kisasi NK mpigie BIBI MAUA0680069490akusaidie.",1
"OFA YA MWAKA MPYA! Furahia punguzo la hadi 35% kwenye vifaa vya shule, mabegi, mapambo na vyombo vya jikoni kupitia PUNGUZO Mini App ndani ya M-Pesa App. Chagua kuletewa au kuchukua mzigo wako mwenyewe. Pakua kisha fungua M-Pesa App, nenda Huduma, chagua Punguzo au bofya hapa kuanza manunuzi: https://mpesa.go.link/fwUKn",1
"VodaTube! Click https://digital.vodacom.co.tz/watch/68c81405ed59bb32156d99e0 to learn how to unsubscribe from digital services you've joined.
To sign up for VodaTube click https://digital.vodacom.co.tz/signup",1
Bonyeza link kuthibitisha akaunti yako,1
Utanitumia kwa hîi Airtel 0781027397 jina linakuja SHIJA LUKOJA.,1
Tuma namba yako kupata mkopo wa haraka,1
Umeshinda gari jipya wasiliana nasi sasa,1
Akaunti yako itafungwa bonyeza link haraka,1
Tuma OTP yako ili kupokea zawadi,1
Hongera umeshinda milioni moja bonyeza hapa,1
au iyo ela nitumie kwenye AirtelMoney hii 0697034365 Jina litoke OLIVA SUPERO,1
"URGENT! You have won a 1 week FREE membership in our ?100,000 Prize Jackpot! Txt the word: CLAIM to",1
